turn is 480, now time is 24621.83530688286, scover line is 86162
turn is 481, now time is 24737.14922595024, scover line is 86162
turn is 482, now time is 24771.388002872467, scover line is 86179
turn is 483, now time is 24867.355880975723, scover line is 86179
turn is 484, now time is 24896.562059879303, scover line is 86179
turn is 485, now time is 24923.327971935272, scover line is 86183
turn is 486, now time is 25018.543730974197, scover line is 86183
turn is 487, now time is 25053.761363983154, scover line is 86183
turn is 488, now time is 25090.629631996155, scover line is 86183
turn is 489, now time is 25124.961990833282, scover line is 86183
turn is 490, now time is 25161.15463900566, scover line is 86189
turn is 491, now time is 25228.26090979576, scover line is 86189
turn is 492, now time is 25255.224280834198, scover line is 86189
turn is 493, now time is 25290.931114912033, scover line is 86189
turn is 494, now time is 25317.12281680107, scover line is 86189
turn is 495, now time is 25352.078190803528, scover line is 86189
turn is 496, now time is 25379.20652294159, scover line is 86189
turn is 497, now time is 25414.907582998276, scover line is 86189
turn is 498, now time is 25449.49328994751, scover line is 86189
turn is 499, now time is 25476.353986024857, scover line is 86189
turn is 500, now time is 25512.000453948975, scover line is 86189
turn is 501, now time is 25541.56634092331, scover line is 86189
turn is 502, now time is 25578.09769797325, scover line is 86189
turn is 503, now time is 25612.59440588951, scover line is 86189
turn is 504, now time is 25646.675686836243, scover line is 86189
turn is 505, now time is 25690.9707968235, scover line is 86189
turn is 506, now time is 25865.248888015747, scover line is 86189
turn is 507, now time is 25911.73233795166, scover line is 86189
turn is 508, now time is 25956.449340820312, scover line is 86189
turn is 509, now time is 25992.677842855453, scover line is 86189
turn is 510, now time is 26028.12514781952, scover line is 86189
turn is 511, now time is 26182.335555791855, scover line is 86189
turn is 512, now time is 26217.825366973877, scover line is 86189
turn is 513, now time is 26253.01042699814, scover line is 86189
turn is 514, now time is 26360.074586868286, scover line is 86189
turn is 515, now time is 26387.492293834686, scover line is 86189
turn is 516, now time is 26421.50389289856, scover line is 86189
turn is 517, now time is 26450.780452013016, scover line is 86189
turn is 518, now time is 26498.369412899017, scover line is 86189
turn is 519, now time is 26544.332571983337, scover line is 86193
turn is 520, now time is 26571.62380886078, scover line is 86193
turn is 521, now time is 26676.809265851974, scover line is 86193
turn is 522, now time is 26706.84803199768, scover line is 86193
turn is 523, now time is 26737.366895914078, scover line is 86193
turn is 524, now time is 26837.695438861847, scover line is 86217
turn is 525, now time is 26869.781632900238, scover line is 86217
turn is 526, now time is 26910.693238019943, scover line is 86217
turn is 527, now time is 27079.013665914536, scover line is 86217
turn is 528, now time is 27111.130210876465, scover line is 86217
turn is 529, now time is 27142.39146900177, scover line is 86217
turn is 530, now time is 27271.36291694641, scover line is 86217
turn is 531, now time is 27302.780005931854, scover line is 86217
turn is 532, now time is 27351.5702958107, scover line is 86217
turn is 533, now time is 27391.924607992172, scover line is 86217
turn is 534, now time is 27423.779174804688, scover line is 86217
turn is 535, now time is 27454.59828186035, scover line is 86217
