turn is 404, now time is 28889.386568069458, scover line is 69819
turn is 405, now time is 28912.55656504631, scover line is 69866
turn is 406, now time is 28935.82720208168, scover line is 69866
turn is 407, now time is 28958.87246489525, scover line is 69866
turn is 408, now time is 28981.910408973694, scover line is 69866
turn is 409, now time is 29005.083507061005, scover line is 69866
turn is 410, now time is 29086.446655988693, scover line is 69866
turn is 411, now time is 29109.623013973236, scover line is 69866
turn is 412, now time is 29270.022329092026, scover line is 69868
turn is 413, now time is 29460.976572036743, scover line is 69871
turn is 414, now time is 29483.90701007843, scover line is 69871
turn is 415, now time is 29606.27477502823, scover line is 69871
turn is 416, now time is 29802.058403015137, scover line is 69871
turn is 417, now time is 29893.917953014374, scover line is 69871
turn is 418, now time is 29924.524657964706, scover line is 69871
turn is 419, now time is 29947.55135703087, scover line is 69871
turn is 420, now time is 29970.680200099945, scover line is 69871
turn is 421, now time is 30161.511977910995, scover line is 69964
turn is 422, now time is 30283.671386003494, scover line is 69964
turn is 423, now time is 30375.379573106766, scover line is 69964
turn is 424, now time is 30398.621208906174, scover line is 69964
turn is 425, now time is 30520.552454948425, scover line is 69964
turn is 426, now time is 30543.69174194336, scover line is 69964
turn is 427, now time is 30575.111783981323, scover line is 69964
turn is 428, now time is 30598.47253704071, scover line is 69964
turn is 429, now time is 30621.92445588112, scover line is 69964
turn is 430, now time is 30823.054635047913, scover line is 69964
turn is 431, now time is 30846.39171910286, scover line is 69964
turn is 432, now time is 30869.8867559433, scover line is 69964
turn is 433, now time is 30893.229821920395, scover line is 69964
turn is 434, now time is 30916.442125082016, scover line is 69964
turn is 435, now time is 30939.775193929672, scover line is 69964
turn is 436, now time is 30962.90631389618, scover line is 69964
turn is 437, now time is 30986.155376911163, scover line is 69964
turn is 438, now time is 31009.47866988182, scover line is 69964
turn is 439, now time is 31033.043437957764, scover line is 69966
turn is 440, now time is 31114.86622595787, scover line is 69966
turn is 441, now time is 31138.21602988243, scover line is 69966
turn is 442, now time is 31220.18745303154, scover line is 69966
turn is 443, now time is 31401.32642698288, scover line is 69966
turn is 444, now time is 31424.164401054382, scover line is 69966
turn is 445, now time is 31516.059705018997, scover line is 69966
turn is 446, now time is 31638.533170938492, scover line is 69972
turn is 447, now time is 31661.846615076065, scover line is 69972
turn is 448, now time is 31753.762408971786, scover line is 69972
turn is 449, now time is 31777.137044906616, scover line is 69972
turn is 450, now time is 31799.49953198433, scover line is 69976
turn is 451, now time is 31901.113650083542, scover line is 69976
turn is 452, now time is 31927.97428894043, scover line is 69976
turn is 453, now time is 31951.077258110046, scover line is 69976
turn is 454, now time is 32023.362250089645, scover line is 69976
turn is 455, now time is 32204.183708906174, scover line is 69976
turn is 456, now time is 32405.105365037918, scover line is 70028
turn is 457, now time is 32428.091372966766, scover line is 70028
turn is 458, now time is 32539.544277906418, scover line is 70028
turn is 459, now time is 32631.122895002365, scover line is 70045
turn is 460, now time is 32654.413364887238, scover line is 70045
