turn is 0, cover line is 1
turn is 893, cover line is 13604
turn is 894, cover line is 13604
turn is 895, cover line is 13604
turn is 896, cover line is 13604
turn is 897, cover line is 13604
turn is 898, cover line is 13604
turn is 899, cover line is 13604
turn is 900, cover line is 13604
turn is 901, cover line is 13604
turn is 902, cover line is 13604
turn is 903, cover line is 13604
turn is 904, cover line is 13604
turn is 905, cover line is 13604
turn is 906, cover line is 13604
turn is 907, cover line is 13604
turn is 908, cover line is 13604
turn is 909, cover line is 13604
turn is 910, cover line is 13604
turn is 911, cover line is 13604
turn is 912, cover line is 13604
turn is 913, cover line is 13604
turn is 914, cover line is 13604
turn is 915, cover line is 13604
turn is 916, cover line is 13604
turn is 917, cover line is 13604
turn is 918, cover line is 13604
turn is 919, cover line is 13604
turn is 920, cover line is 13604
turn is 921, cover line is 13604
turn is 922, cover line is 13604
turn is 923, cover line is 13604
turn is 924, cover line is 13604
turn is 925, cover line is 13604
turn is 926, cover line is 13604
turn is 927, cover line is 13604
turn is 928, cover line is 13604
turn is 929, cover line is 13604
turn is 930, cover line is 13614
turn is 931, cover line is 13614
turn is 932, cover line is 13614
turn is 933, cover line is 13614
turn is 934, cover line is 13614
turn is 935, cover line is 13614
turn is 936, cover line is 13614
turn is 937, cover line is 13614
turn is 938, cover line is 13664
turn is 939, cover line is 13664
turn is 940, cover line is 13664
turn is 941, cover line is 13677
turn is 942, cover line is 13677
turn is 943, cover line is 13677
turn is 944, cover line is 13677
turn is 945, cover line is 13677
turn is 946, cover line is 13677
turn is 947, cover line is 13677
turn is 948, cover line is 13677
turn is 949, cover line is 13677
turn is 950, cover line is 13677
turn is 951, cover line is 13677
turn is 952, cover line is 13677
turn is 953, cover line is 13677
turn is 954, cover line is 13677
turn is 955, cover line is 13677
turn is 956, cover line is 13677
turn is 957, cover line is 13677
turn is 958, cover line is 13677
turn is 959, cover line is 13677
turn is 960, cover line is 13677
turn is 961, cover line is 13677
turn is 962, cover line is 13677
turn is 963, cover line is 13677
turn is 964, cover line is 13677
turn is 965, cover line is 13677
turn is 966, cover line is 13677
turn is 967, cover line is 13677
turn is 968, cover line is 13678
turn is 969, cover line is 13678
turn is 970, cover line is 13678
turn is 971, cover line is 13681
turn is 972, cover line is 13681
turn is 973, cover line is 13681
turn is 974, cover line is 13681
turn is 975, cover line is 13681
turn is 976, cover line is 13681
turn is 977, cover line is 13681
turn is 978, cover line is 13681
turn is 979, cover line is 13681
turn is 980, cover line is 13681
turn is 981, cover line is 13681
turn is 982, cover line is 13681
turn is 983, cover line is 13681
turn is 984, cover line is 13681
